city,lat,lng,country,iso3,local_name,population,continent
Tokyo,35.6897,139.6922,Japan,JPN,Tōkyō,37977000.0,Asia
Jakarta,-6.2146,106.8451,Indonesia,IDN,Jakarta,34540000.0,Asia
Delhi,28.66,77.23,India,IND,Delhi,29617000.0,Asia
Mumbai,18.9667,72.8333,India,IND,Mahārāshtra,23355000.0,Asia
Manila,14.6,120.9833,Philippines,PHL,Manila,23088000.0,Asia
Shanghai,31.1667,121.4667,China,CHN,Shanghai,22120000.0,Asia
São Paulo,-23.5504,-46.6339,Brazil,BRA,São Paulo,22046000.0,South America
Seoul,37.56,126.99,"Korea, South",KOR,Seoul,21794000.0,Asia
Mexico City,19.4333,-99.1333,Mexico,MEX,Ciudad de México,20996000.0,North America
Guangzhou,23.1288,113.259,China,CHN,Guangdong,20902000.0,Asia
Beijing,39.905,116.3914,China,CHN,Beijing,19433000.0,Asia
Cairo,30.0561,31.2394,Egypt,EGY,Al Qāhirah,19372000.0,Africa
New York,40.6943,-73.9249,United States,USA,New York,18713220.0,North America
Kolkāta,22.5411,88.3378,India,IND,West Bengal,17560000.0,Asia
Moscow,55.7558,37.6178,Russia,RUS,Moskva,17125000.0,Europe
Bangkok,13.75,100.5167,Thailand,THA,Krung Thep Maha Nakhon,17066000.0,Asia
Buenos Aires,-34.5997,-58.3819,Argentina,ARG,"Buenos Aires, Ciudad Autónoma de",16157000.0,South America
Shenzhen,22.535,114.054,China,CHN,Guangdong,15929000.0,Asia
Dhaka,23.7289,90.3944,Bangladesh,BGD,Dhaka,15443000.0,Asia
Lagos,6.45,3.4,Nigeria,NGA,Lagos,15279000.0,Africa
Istanbul,41.01,28.9603,Turkey,TUR,İstanbul,15154000.0,Europe
Ōsaka,34.75,135.4601,Japan,JPN,Ōsaka,14977000.0,Asia
Karachi,24.86,67.01,Pakistan,PAK,Sindh,14835000.0,Asia
Bangalore,12.9699,77.598,India,IND,Karnātaka,13707000.0,Asia
Tehran,35.7,51.4167,Iran,IRN,Tehrān,13633000.0,Asia
Kinshasa,-4.3233,15.3081,Congo (Kinshasa),COD,Kinshasa,13528000.0,Africa
Ho Chi Minh City,10.8167,106.6333,Vietnam,VNM,Hồ Chí Minh,13312000.0,Asia
Los Angeles,34.1139,-118.4068,United States,USA,California,12750807.0,North America
Rio de Janeiro,-22.9083,-43.1964,Brazil,BRA,Rio de Janeiro,12272000.0,South America
Nanyang,32.9987,112.5292,China,CHN,Henan,12010000.0,Asia
Baoding,38.8671,115.4845,China,CHN,Hebei,11860000.0,Asia
Chennai,13.0825,80.275,India,IND,Tamil Nādu,11324000.0,Asia
Chengdu,30.66,104.0633,China,CHN,Sichuan,11309000.0,Asia
Lahore,31.5497,74.3436,Pakistan,PAK,Punjab,11021000.0,Asia
Paris,48.8566,2.3522,France,FRA,Île-de-France,11020000.0,Europe
London,51.5072,-0.1275,United Kingdom,GBR,"London, City of",10979000.0,Europe
Linyi,35.0606,118.3425,China,CHN,Shandong,10820000.0,Asia
Tianjin,39.1467,117.2056,China,CHN,Tianjin,10800000.0,Asia
Shijiazhuang,38.0422,114.5086,China,CHN,Hebei,10784600.0,Asia
Zhoukou,33.625,114.6418,China,CHN,Henan,9901000.0,Asia
Lima,-12.05,-77.0333,Peru,PER,Lima,9848000.0,South America
Hyderābād,17.3667,78.4667,India,IND,Telangana,9746000.0,Asia
Handan,36.6116,114.4894,China,CHN,Hebei,9549700.0,Asia
Bogotá,4.6126,-74.0705,Colombia,COL,Bogotá,9464000.0,South America
Weifang,36.7167,119.1,China,CHN,Shandong,9373000.0,Asia
Nagoya,35.1167,136.9333,Japan,JPN,Aichi,9113000.0,Asia
Wuhan,30.5872,114.2881,China,CHN,Hubei,8962000.0,Asia
Heze,35.2333,115.4333,China,CHN,Shandong,8750000.0,Asia
Ganzhou,25.8292,114.9336,China,CHN,Jiangxi,8677600.0,Asia
Tongshan,34.261,117.1859,China,CHN,Jiangsu,8669000.0,Asia
Chicago,41.8373,-87.6862,United States,USA,Illinois,8604203.0,North America
Luanda,-8.8383,13.2344,Angola,AGO,Luanda,8417000.0,Africa
Changsha,28.1987,112.9709,China,CHN,Hunan,8394500.0,Asia
Fuyang,32.8986,115.8045,China,CHN,Anhui,8360000.0,Asia
Kuala Lumpur,3.1478,101.6953,Malaysia,MYS,Kuala Lumpur,8285000.0,Asia
Jining,35.4,116.5667,China,CHN,Shandong,8023000.0,Asia
Dongguan,23.0475,113.7493,China,CHN,Guangdong,7981000.0,Asia
Jinan,36.6667,116.9833,China,CHN,Shandong,7967400.0,Asia
Foshan,23.0292,113.1056,China,CHN,Guangdong,7905700.0,Asia
Hanoi,21.0245,105.8412,Vietnam,VNM,Hà Nội,7785000.0,Asia
Pune,18.5196,73.8553,India,IND,Mahārāshtra,7764000.0,Asia
Chongqing,29.5628,106.5528,China,CHN,Chongqing,7739000.0,Asia
Changchun,43.9,125.2,China,CHN,Jilin,7674439.0,Asia
Zhumadian,32.9773,114.0253,China,CHN,Henan,7640000.0,Asia
Ningbo,29.875,121.5492,China,CHN,Zhejiang,7639000.0,Asia
Cangzhou,38.3037,116.8452,China,CHN,Hebei,7544300.0,Asia
Nanjing,32.05,118.7667,China,CHN,Jiangsu,7496000.0,Asia
Hefei,31.8639,117.2808,China,CHN,Anhui,7457027.0,Asia
Ahmedabad,23.03,72.58,India,IND,Gujarāt,7410000.0,Asia
Hong Kong,22.305,114.185,Hong Kong,HKG,,7347000.0,Asia
Zhanjiang,21.1967,110.4031,China,CHN,Guangdong,7332000.0,Asia
Shaoyang,27.2418,111.4725,China,CHN,Hunan,7302400.0,Asia
Hengyang,26.8968,112.5857,China,CHN,Hunan,7300600.0,Asia
Khartoum,15.6031,32.5265,Sudan,SDN,Khartoum,7282000.0,Africa
Nantong,31.9829,120.8873,China,CHN,Jiangsu,7282835.0,Asia
Yancheng,33.3936,120.1339,China,CHN,Jiangsu,7260240.0,Asia
Nanning,22.8192,108.315,China,CHN,Guangxi,7153300.0,Asia
Xi’an,34.2667,108.9,China,CHN,Shaanxi,7135000.0,Asia
Shenyang,41.8039,123.4258,China,CHN,Liaoning,7105000.0,Asia
Tangshan,39.6292,118.1742,China,CHN,Hebei,7100000.0,Asia
